2023,3,101,404-555-1001,69.87,289,77,152.89869689941406
2023,3,104,404-555-1004,18.39,926,438,506.98388671875
2023,3,106,404-555-1006,94.82,526,198,283.7481994628906
2023,3,108,404-555-1008,74.8,533,926,359.8479919433594
2023,3,109,404-555-1009,24.58,508,850,339.24578857421875
2023,3,110,404-555-1010,76.61,994,741,571.8660888671875
2023,3,111,404-555-1011,63.62,654,234,351.03619384765625
2023,3,112,404-555-1012,72.9,436,21,220.82901000976562
2023,3,113,404-555-1013,91.66,350,441,220.0166015625
2023,3,114,404-555-1014,31.76,318,16,160.9176025390625
2023,3,116,404-555-1016,98.1,174,945,182.4810028076172
2023,3,117,404-555-1017,73.27,389,379,233.1326904296875
2023,3,118,404-555-1018,26.98,477,904,329.1697998046875
2023,3,120,404-555-1020,10.77,675,988,436.40771484375
2023,3,121,404-555-1021,21.32,614,429,350.1131896972656
2023,3,122,404-555-1022,70.67,777,132,402.4067077636719
2023,3,123,404-555-1023,77.84,436,726,291.3783874511719
2023,3,124,404-555-1024,83.58,384,51,197.93580627441406
2023,3,125,404-555-1025,81.99,985,457,539.0198974609375
2023,3,126,404-555-1026,29.92,556,576,335.8992004394531
2023,3,127,404-555-1027,96.18,251,429,169.36180114746094
2023,3,128,404-555-1028,12.11,918,105,469.62109375
2023,3,129,404-555-1029,70.71,284,717,214.4071044921875
2023,3,130,404-555-1030,1.65,499,323,281.8164978027344
2023,3,131,404-555-1031,5.67,963,133,494.856689453125
2023,3,132,404-555-1032,4.52,884,968,538.84521484375
2023,3,134,404-555-1034,10.09,611,628,368.40087890625
2023,3,135,404-555-1035,28.18,975,853,573.081787109375
2023,3,137,404-555-1037,93.54,565,357,319.1354064941406
2023,3,138,404-555-1038,57.53,819,786,488.67529296875
2023,3,142,404-555-1042,74.0,552,478,324.53997802734375
2023,3,143,404-555-1043,15.88,486,717,314.8587951660156
2023,3,144,404-555-1044,50.01,556,124,290.90008544921875
2023,3,145,404-555-1045,54.25,352,991,275.6424865722656
2023,3,146,404-555-1046,41.6,192,703,166.71600341796875
2023,3,147,404-555-1047,75.96,747,348,409.0596008300781
2023,3,148,404-555-1048,0.83,775,508,438.30828857421875
2023,3,149,404-555-1049,5.74,184,913,183.35740661621094
2023,3,150,404-555-1050,31.39,805,681,470.9139099121094
2023,3,151,404-555-1051,76.67,498,233,273.0666809082031
2023,3,152,404-555-1052,28.24,587,128,306.5823974609375
2023,3,153,404-555-1053,7.16,389,634,257.9715881347656
2023,3,154,404-555-1054,4.42,234,737,190.74420166015625
2023,3,157,404-555-1057,25.85,979,639,553.6585083007812
2023,3,158,404-555-1058,36.3,804,512,453.5630187988281
2023,3,159,404-555-1059,97.9,786,486,442.5790100097656
